"","objectid","name","yearpublished","sortindex","minplayers","maxplayers","minplaytime","maxplaytime","minage","min_community","max_community","totalvotes","playerage","languagedependence","usersrated","average","baverage","stddev","avgweight","numweights","numgeeklists","numtrading","numwanting","numcomments","siteviews","numplays","numplays_month","news","blogs","weblink","podcast","label","boardgamedesigner_cnt","boardgameartist_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","boardgamecategory_cnt","boardgamemechanic_cnt","boardgameexpansion_cnt","boardgameversion_cnt","boardgamefamily_cnt","boardgamedesigner","boardgameartist","boardgamepublisher","boardgamehonor","boardgamecategory","boardgameversion","boardgamemechanic","boardgameexpansion","boardgamefamily","description","gamelink"
"1",68820,"Enemy Action  Ardennes",2015,1915,1,2,60,600,0,"1","2",23,"16",3,359,8.69125,6.10015,1.42163,4.1754,57,258,19,197,187,297351,791,1,0,17,3,1,"Board Game",1,2,1,2,2,3,0,1,2,"['John H. Butterfield""']","['Knut Gru00fcnitz', 'Timothy Schleif']","['Compass Games']","['2015 Golden Geek Best Solo Board Game Nominee', '2015 Golden Geek Best Wargame Nominee']","['Wargame', 'World War II']","['First edition']","['Campaign / Battle Card Driven', 'Chit-Pull System', 'Hexagon Grid']","['None']","['Solitaire Wargames', 'World War 2: Battle of the Bulge']","Publisher's advertisement:  &amp;quot;Enemy Action: Ardennes is the first in a series of card-driven war games on pivotal operations and campaigns in World War II, from John Butterfield, designer of RAF, D-Day at Omaha Beach, Ambush! and Hell’s Highway. Each game in the series allows for play by two players or one player, playing either side in the conflict.  &amp;quot;Enemy Action delivers fun, tense wargaming with a focus on command and capabilities: - Low complexity with constant decision points for both sides; - Two-player competition; - Solitaire play of either side with an innovative system governing enemy command and tactics; - Card-driven impulse system, with multi-purpose cards that can be played to activate formations, implement command events, or gain tactical advantages in combat. - Diceless and chartless combat system &amp;ndash; players draw combat chits that build a narrative of each combat.  &amp;quot;EA: Ardennes portrays the German offensive against the western Allies in December 1944 -- the Battle of the Bulge. Each player controls the German or Allied (US and British) side. If playing solo, the game system controls the other side. - Map scale: 2.5 miles per hex. Hexes are oversized for easy counter handling. - Unit Scale: Regiments, brigades and divisions - Time scale: One day per turn, with several impulses in each turn.&amp;quot;  BGG wiki page with many clarifications and hints and errata: Enemy Action: Ardennes German Solo FAQ","/boardgame/68820/enemy-action-ardennes"
"2",85424,"La Bataille de la Moscowa (third edition)",2011,3917,2,8,1000,1000,16,"2","6",6,"14",4,143,8.58127,5.75236,1.45348,4.2121,33,81,6,35,63,89965,100,0,0,3,2,1,"Board Game",1,3,1,2,2,1,1,1,2,"['Terry Doherty""']","['Charles Kibler', 'Timothy Schleif', 'Robert Tunstall']","['Clash of Arms Games']","['2011 Charles S. Roberts Best Best Ancient to Napoleonic Era Board Wargame Nominee', '2011 Charles S. Roberts Best Board Game Graphics Nominee']","['Napoleonic', 'Wargame']","['First edition']","['Hexagon Grid']","['Ru00e8glement de lAn XXX']","['La Bataille series', 'Country: Russia']","This is the new, 3rd edition of the venerable La Bataille de la Moscowa, the wargame that introduced &amp;quot;monster&amp;quot; as a genre in the hobby.  Napoleon's battle near Moscow; September 5th to the 7th, 1812.  Serried ranks of French and Russians clash on a narrow field where more than 1000 guns thunder and tear asunder man and beast. It was the single bloodiest day of battle up until WWI.  The scale is 100 meters per hex. 100 men per infantry strength point, 50 men per cavalry strength point and 2 to 4 guns per strength point for artillery.  It has 4 maps and over 1400 counters.  This edition uses a new, simplified and faster playing set of La Bataille rules called Le Reglement des Marie-Louises (named for the French conscripts of 1814 who, in turn, were named for Napoleon's Empress; mother of his son).  The game is also fully compatible with the advanced La Bataille rules called Le Reglement de l'An XXX.","/boardgame/85424/la-bataille-de-la-moscowa-third-edition"
"3",99358,"Stonewall Jackson's Way II",2013,2975,0,2,240,720,0,"2","2",6,"12",3,201,8.47761,5.86744,1.25973,3.7727,22,140,4,67,73,73572,497,0,0,6,2,1,"Board Game",4,2,1,0,2,2,0,1,1,"['Joseph M. Balkoski""', 'Ed Beach""', 'Mike Belles""', 'Chris Withers""']","['Nicolu00e1s Eskubi', 'Charles Kibler']","['Multi-Man Publishing']","['None']","['American Civil War', 'Wargame']","['First edition']","['Dice Rolling', 'Hexagon Grid']","['None']","['Great Campaigns of the American Civil War']","(from MMP website:)  Stonewall Jackson&amp;rsquo;s Way II: Battles of Bull Run is the 9th game in the award-winning Great Campaigns of the American Civil War (GCACW) series. This game is actually two complete modules in one: it includes a complete revision and augmentation of Stonewall Jackson's Way (SJW; the first game in the series), and an entire new module covering the First Bull Run Campaign, called All Green Alike (AGA).  The two maps included are newly painted by original map artist Charlie Kibler and include new historical and terrain details (to bring them up to the standards of the latest games in the GCACW series).  Stonewall Jackson&amp;rsquo;s Way II: Battles of Bull Run uses the same GCACW Standard Basic Game Rules that were first published in MMP's The Skirmisher #1 and Grant Takes Command. The Advanced Game rule sets are also standardized so players will be able to move quickly from one campaign to the other.  All Green Alike: The First Bull Run Campaign, July 1861, includes five Basic Game and two Advanced Game scenarios. The Basic Game scenarios feature two Shenandoah Valley scenarios and two scenarios at Bull Run The two Advanced Game campaigns cover the advance and aftermath of the campaign.      Across the Potomac (4 turns, July 2-5, 1861)      Johnston vs. Patterson (3 turns, July 17-19, 1861)      McDowell&amp;rsquo;s Opportunity (3 turns, July 19-21, 1861)      An End to Innocence (1 turn, July 21, 1861)     The Retreat to Washington (3 turns, July 21-23, 1861)     The Bull Run Campaign (13 turns, July 16-28, 1861)      The Virginia Campaign (14 turns, July 15-28, 1861)      [The first and last scenarios require use of the Here Come the Rebels (the 2nd game in the GCACW series) west map (not included).]  Stonewall Jackson&amp;rsquo;s Way: Cedar Mountain to 2nd Manassas, August 1862, includes two new Basic Game scenarios, the five original Basic Scenarios redesigned and rebalanced, and the two original Advanced Game campaigns also revamped for better play balance:      Cedar Mountain (3 turns, August 8-10, 1862)     Lee vs. Pope (2 turns, August 18-19, 1862)     Stuart&amp;rsquo;s Raid (3 turns, August 22-24, 1862)     From the Rappahannock to Bull Run (6 turns, August 25-30, 1862)     Jackson&amp;rsquo;s March (3 turns, August 26-28, 1862)     Bag the Whole Crowd (3 turns, August 28-30, 1862)     Which Way Did He Go? (3 turns, August 28-30, 1862)     From the Rapidan to the Rappahannock (8 turns, August 19-26, 1862)     From the Rapidan to Manassas (15 turns, August 19 &amp;ndash; September 2, 1862)     Stonewall Jackson&amp;rsquo;s Way II: Battles of Bull Run contains: One 28 page GCACW Series Rules Booklet One 68 page SJW II Specific Rules Booklet Two 22&amp;quot;x 32&amp;quot; full-color mapsheets (North &amp;amp; South maps) Three Countersheets (840 1/2&amp;quot; dual-side printed counters) One Terrain Effects Chart (2 sided) Two full-color Force Displays Cards (both 1 sided) Two 4 page color Charts and Tables foldout Two 6-sided Dice","/boardgame/99358/stonewall-jacksons-way-ii"
"4",94373,"Dien Bien Phu  The Final Gamble",2014,3911,2,2,360,1440,0,"2","2",5,"12",2,161,8.40155,5.75251,1.47785,3.1538,13,101,9,54,101,79323,103,3,0,0,5,5,"Board Game",1,1,1,0,3,1,0,2,1,"['Kim Kanger""']","['Kim Kanger']","['Legion Wargames LLC']","['None']","['Modern Warfare', 'Vietnam War', 'Wargame']","['First edition', 'Second edition']","['Hexagon Grid']","['None']","['History: First Indochina war']","&amp;quot;Dien Bien Phu - The Final Gamble&amp;quot; is a two-player game about the decisive battle of Dien Bien Phu in 1954 that not only ended the French Indochina War but also had political repercussions far outside the region itself. One player represents France and her colonial troops. The other player represents the armed force of Viet Minh, the communist/nationalist independence movement of Vietnam. This is a cage fight. There are no victory points, there is no marginal victory and there is no draw. Viet Minh wins by forcing the French troops to surrender. France wins by not surrendering.  Map and scale: The map covers the former village of Dien Bien Phu and surrounding areas. There is a small submap of the French strongpoint &amp;quot;Isabelle&amp;quot; further south in the valley. There are several groups of French strongpoints scattered around the map, each one with a female name (all named after the commander - de Castries' - mistresses, according to lore). The map is divided into three divisional sectors (plus a fourth one facing the submap &amp;quot;Isabelle&amp;quot;). Each sector has several zones that represent Viet Minh trenches winding from the map edge towards the center of the map. Each hex represents 150 meters and each game turn covers three days. There are 21 turns in the game, but historically, it ended after 19 game turns with a Viet Minh victory. The scale allows stacking of three French units (usually infantry companies) in a hex, but there are no stacking limits for Viet Minh battalions, which creates a chess feel.  Three Viet Minh battalions form a regiment and three regiments become a division and there were almost four full divisions in the valley, as well as a full artillery division off map. There was also an equivalent of another three divisions in a replacement pool outside the valley. The French troops were a colorful array of colonial paras, Vietnamese troops, units from French Algeria and Morocco, and, of course, the French Foreign Legion. Some units are of average quality, some are outright terrible, but some are the very best that could be mustered ... anywhere. A French battalion consisted of four companies and there were 12 battalions together with 11 auxiliary light companies at the start of the siege, as well as 16 artillery and mortar batteries, and three tank platoons. Waiting in Hanoi were another five para battalions together with an expected replacement pool of about 14 companies. In neighboring Laos, there were four battalions ready to march and perhaps save the day at the very end.  French supply: This battle took place far out in the wilderness of Vietnam and both sides had to adjust to the limited flow of supplies that could be brought forward, though the air to the French, and through vast forests to the Viet Minh. Supplies, as historically was the case, tend to be a lot less than wished for. There are several supply tracks on the map showing how much ammo, food &amp;amp; bullets, fuel &amp;amp; spares, medicine as well as the amount of truck transport available for the French. Each game turn air transports will bring in a mix of supplies together with replacements and reinforcements. This is done on a chart with a grid where a mix of supply markers are placed together with eventual reinforcements and replacements. Weather will then decide what will arrive and what will abort back to Hanoi. The French player will never know for sure what and how much will arrive and has to take that into account.  Viet Minh supply and morale: Viet Minh will receive a more steady flow of ammunition, but not enough to barrage whenever wished. There is a large pool of replacements to use, but although it is large, it is not infinite. If Viet Minh losses are too heavy, then the fact that you can only replace one step per regiment per game turn will be a painful experience. If loses are too heavy for too long, then the pool will dry out. Viet Minh's main concern is troop morale. The battle force starts with excellent morale, but each division's morale will decrease when taking replacements thus diluting the experienced veterans with newly drafted peasants with no combat experience. Morale will rise slightly when resting (not assaulting). But then again, time flies and there is a battle to win. Morale is a very important part of the game and if it falls too low, the troops will be rendered useless.  Artillery: Artillery is another important aspect of the battle. There is bombardment from both sides before assaults commence. You wish to achieve two things with barrage: Losses and to make the target shaken. Targets that are shaken lose abilities to react and support combat, and they become easier to assault. Defending units bring in barrage to make it harder for the attacker to succeed. Viet Minh artillery is off-board and safe from French artillery fire (mainly that they were dug deep into the mountainsides). French artillery and mortar units, on the other hand, exist as units on the board and may fall prey to Viet Minh bombardment. French artillery units that are reduced and/or shaken are not as efficient, and those that are eliminated are obviously out of play. Both sides have a limited amount of ammunition and therefore have to spend it wisely.  Combat: The main effort in the game is, of course, the assaults. Each player will conduct two die-rolls during the course of an assault to determine the outcome. The defender first conducts defensive fire in the hopes of inflicting losses, but also to possibly force the attacker abort the assault. The defender&amp;rsquo;s first die roll is compared to their strength and will show how well they defend. The defender&amp;rsquo;s second die-roll (modified from the result of the first die roll), is compared to the assaulting unit's morale and will determine the result of the defensive fire. Providing the assaulting units do not abort, the attacker (who has suffered the effects of the defensive fire) conducts two die rolls. The first one to see how well the assault is conducted, and the second one to see the outcome of the assault. Modifications, such as trenches, terrain, support from other units, etc., adjust the strength of a unit to make it stronger or weaker.  You will never know for sure what that result will be due to the two die-rolls on each side. Dien Bien Phu &amp;ndash; The Final Gamble, will be as tense and brutal a simulation as was the historical battle that determined the fate of this war as well as shaping the events of things to come.  Kim Kanger","/boardgame/94373/dien-bien-phu-final-gamble"
"5",7935,"1844  Switzerland",2003,3101,3,7,300,300,12,"5","7",12,"16",1,187,8.36075,5.85004,1.36212,4.3684,19,133,1,62,60,60153,409,2,1,0,5,0,"Board Game",2,0,2,0,2,4,0,1,3,"['Peter Minder""', 'Helmut Ohley""']","['Peter Minder', 'Helmut Ohley']","['(Self-Published)', 'Double-O Games']","['None']","['Economic', 'Trains']","['First edition']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding', 'Tile Placement']","['None']","['18xx', 'Admin: Better Description Needed!', 'Country: Switzerland']","1844 is an 18xx railroad and stock trading game based on Francis Tresham's 1829. It follows the start of public railway operations in the year 1844 in Switzerland. Many specifics to Swiss railway system development have been implemented in order to resemble history as closely as possible.  The game incorporates 7 private companies, 5 mountain railroads, 5 tunnel operators and a total of 15 railroad corporations.","/boardgame/7935/1844-switzerland"
"6",66837,"1862  Railway Mania in the Eastern Counties",2013,2243,2,8,300,300,12,"4","6",14,"14",1,325,8.22082,6.01584,1.33006,4.4412,34,309,18,77,180,118425,1402,77,0,9,2,4,"Board Game",1,2,2,0,2,7,0,2,2,"['Mike Hutton""']","['Mike Hutton', 'Rodger B. MacGowan']","['GMT Games', 'LMN+B']","['None']","['Economic', 'Trains']","['First edition', 'Second edition']","['Auction/Bidding', 'Market', 'Network and Route Building', 'Ownership', 'Stock Holding', 'Tile Placement']","['None']","['18xx', 'Country: England']","1862: Railway Mania in the Eastern Counties is an 18xx game set in East Anglia, England. It features a company-packed board, where 16 of 20 companies are randomly selected for use on a board containing only 37 hexes. Major features of the game are:        Petitioning parliament as a means of floating your preferred company      a mixture of full and partial capitalisation for companies      three train types with differing objectives and building requirements      company mergers and re-floatation      1860-style semi-linear stock-market featuring multiple stock jumps.","/boardgame/66837/1862-railway-mania-eastern-counties"
"7",67600,"D-Day at Tarawa",2014,2573,1,1,120,420,0,"1","1",11,"14",4,295,8.20844,5.94035,1.17182,3.5588,34,256,28,94,144,144356,466,7,0,4,4,0,"Board Game",1,2,1,2,2,2,0,2,3,"['John H. Butterfield""']","['Larry Hoffman', 'Joe Youst']","['Decision Games (I)']","['2014 Golden Geek Best Solo Board Game Nominee', '2014 Golden Geek Best Wargame Nominee']","['Wargame', 'World War II']","['First edition', 'Second edition']","['Hexagon Grid', 'Simulation']","['None']","['D-Day Series', 'Solitaire Games', 'Solitaire Wargames']","Based on John Butterfield's groundbreaking D-Day at Omaha Beach system, this solitaire game presents the critical days of fighting at platoon and company scale. You command the invading American forces against dug-in Japanese defenders, which are controlled by the game system. Tarawa covers the landings on Betio Island in November 1943, and the operations of the US 2nd Marine and 27th Infantry Divisions to clear it -- the first heavily contested landing of the Pacific War. The battle for the tiny Island raged for four days and, when it was finally over, fewer than 200 of the 5,000 Japanese defenders remained alive. One map, two counter-sheets and 55 cards.","/boardgame/67600/d-day-tarawa"
"8",69601,"1880  China",2010,2371,3,7,300,300,13,"5","7",13,"16",1,290,8.1976,5.98566,1.33152,4.3077,26,212,4,115,90,69171,974,5,0,6,3,7,"Board Game",2,0,2,0,2,4,0,2,3,"['Helmut Ohley""', 'Leonhard \\""Lonny\\"" Orgler""']","['Helmut Ohley', 'Leonhard Lonny Orgler']","['(Self-Published)', 'Double-O Games']","['None']","['Economic', 'Trains']","['English/German first edition', 'English/German second edition']","['Auction/Bidding', 'Network and Route Building', 'Stock Holding', 'Tile Placement']","['None']","['18xx', 'Cities: Beijing (China)', 'Country: China']","An 18xx game by Helmut Ohley and Lonny Orgler set in China. As usual, players are railroad capitalists and operate in a stock market buying and selling shares, opening companies and trying not to go bankrupt.  It's a big game even by 18xx standards, with a few innovations added to the system:  - turn order for companies not changing with the evolving stock prices: it is set along with the par price when a player opens a company  - A player-manipulated ratio of stock rounds and operation rounds: for an example, a new stock round occurs when the last of a type of train is bought.  Released in Essen 2010","/boardgame/69601/1880-china"
"9",1573,"Banzai",1984,18624,1,2,60,60,12,"2","2",8,"12",0,483,8.18132,6.20129,1.40442,3.3333,54,133,31,65,228,56124,390,0,0,3,0,0,"Board Game",1,3,2,0,4,2,0,2,3,"['Courtney F. Allen""']","['Courtney F. Allen', 'Jeff Holt', 'James Talbot']","['The Avalon Hill Game Co', 'Wizards of the Coast']","['None']","['Card Game', 'Expansion for Base-game', 'Wargame', 'World War II']","['Avalon Hill first edition', 'Wargame Vault edition']","['Campaign / Battle Card Driven', 'Hand Management']","['None']","['Asian Theme', 'Country: Japan', 'Up Front Series']","Banzai expands upon 1983's most innovative and acclaimed game system to bring the steaming jungles of the SW Pacific to your gaming table. The mystique, incredible courage, and tragic flaws of the Japanese soldier are vividly portrayed in the tense, exciting games of simulated man-to-man combat which only Up Front presents in such panoramic splendor.  Owners of Up Front will find the game system extensions included herein to be the ultimate of simplicity and convenience; while adding rich detail to the portrayal of the Japanese and British nationalities, as well as accounting for American marines. Twelve new scenarios depict not only typical SW Pacific encounters, but allow more variations for Up Front's existing European scenarios as the British take on the Germans, or the Russians test the Japanese in Manchuria. Several new scenario types list European variations, thus expanding the scope of Up Front's possible encounters. And of course, the complicated T. O. &amp;amp; E. and capabilities of the new nationalities have been distilled into the eminently playable Personnel cards of the Up Front game system.  Contents: 1 Rule Book (Contains 12 Scenarios) 63 Counters 60 Personel Cards 20 AFV Cards","/boardgameexpansion/1573/banzai"
"10",67601,"D-Day at Peleliu",2015,3787,1,2,180,300,12,"1","2",7,"12",3,186,8.17321,5.76593,1.37813,4.1667,12,102,17,89,104,103225,247,1,0,5,3,0,"Board Game",1,3,1,1,2,2,0,2,3,"['John H. Butterfield""']","['Chris Dickson', 'Howard David Johnson', 'Lise Patterson']","['Decision Games (I)']","['2015 Golden Geek Best Wargame Nominee']","['Wargame', 'World War II']","['First edition', 'Second edition']","['Hexagon Grid', 'Simulation']","['None']","['D-Day Series', 'Solitaire Games', 'Solitaire Wargames']","D-Day at Peleliu focuses on the landings by the US 1st Marine Division in September 1944, and the bitter two-day struggle to capture the airfield on the southern end of the island. A longer campaign scenario allows the player to extend the action to the rugged terrain of &amp;quot;Bloody Nose Ridge.&amp;quot;  Opposed by the reinforced Japanese 14th Infantry Division, the battle resulted in the highest US casualty rate of any in the Pacific war. Like D-Day at Omaha Beach, D-Day at Peleliu features landing hazards, variable enemy positions, fields of fire encoded onto the map, US weapon types versus Japanese defensive preparations, and a random-event-driven narrative. Plus new features unique to the Pacific Theater, such as: US naval and aerial bombardment, flamethrowers, offshore reefs and defensive positions, Japanese tank attacks, tunnel network movement and Banzai charges. One map, one counter-sheet and 55 cards.","/boardgame/67601/d-day-peleliu"
