"","name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","usersrated","average","avgweight","boardgamehonor","boardgamecategory","description","boardgamefamily"
"1","Downtown  Air War Over Hanoi",2004,2,2,240,240,14,410,7.85718,4.0816,"['2004 Charles S. Roberts Best Modern Era Boardgame Nominee', '2004 Charles S. Roberts Best Modern Era Boardgame Winner', '2004 Charles S. Roberts Best Wargame Graphics Nominee', '2004 Charles S. Roberts Best Wargame Graphics Winner', '2004 James F. Dunnigan Award Nominee', '2004 James F. Dunnigan Award Winner']","Aviation / Flight","Downtown: Air War Over Hanoi, 1965-1972 is a game of air warfare over Hanoi. During the Rolling Thunder (1965-68) and Linebacker (1972) campaigns, Hanoi and the Red River Valley was the focus of American air operations intended to pressure North Vietnam's Communist leadership  into ceasing their attacks on the South. Against large &amp;quot;packages&amp;quot; of US attack and support aircraft, the Vietnamese deployed a formidable array of anti-aircraft artillery (AAA) and Surface to Air Missiles (SAMs). They also had a force of MiG fighter jets.  Covering air operations from 1965 to 1972, Downtown simulates the clashes between American air power and the North Vietnamese air defence system. The United States player controls Air Force and Navy strikes into Route Packs 5 and 6 - the heart of the Vietnamese defences.  Packages include forces of bombers, fighters, recon planes, jamming aircraft and &amp;quot;Iron Hand&amp;quot; aircraft for suppression of enemy air defenses (SEAD). The US player's objective is to destroy ground targets. They can only succeed by integrating all the package elements to complete the mission with minimal loss.  The North Vietnamese player controls concentrations of AAA, Fire Can radar-directed artillery and SAM . They can launch MiG fighters to intercept the bomber streams aimed at 'Downtown' Hanoi. The Vietnamese player must disrupt enemy attacks.  20 scenarios cover historical strike raids from the Rolling Thunder and Linebacker operations. Campaigns simulate raids taking place over the course of several days.  Game Scale: Game Turn: 1 minute Hex: 2.5 miles / 4 kilometers Units: Flights (1-4 aircraft), battalion-sized SAMs (six SA-2 launchers), or multi-battery concentrations of AAA  Game Inventory: One 22 x 34&amp;quot; full color mapsheet Two dual-side printed countersheets (560 1/2&amp;quot; counters) One 48-page Downtown rulebook One 40-page Downtown scenario booklet Three dual-side printed Aircraft Data Cards Four dual-side printed Player Aid Cards Six dual-side printed Flight Log Sheets Two 10-sided dice  Solitaire Playability: Low Complexity Level: High Players: 2 or more Playing Time: 4-15 hours","['Cities: Hanoi (Vietnam)', 'Country: Vietnam']"
"2","Downtown  Air War Over Hanoi",2004,2,2,240,240,14,410,7.85718,4.0816,"['2004 Charles S. Roberts Best Modern Era Boardgame Nominee', '2004 Charles S. Roberts Best Modern Era Boardgame Winner', '2004 Charles S. Roberts Best Wargame Graphics Nominee', '2004 Charles S. Roberts Best Wargame Graphics Winner', '2004 James F. Dunnigan Award Nominee', '2004 James F. Dunnigan Award Winner']","Modern Warfare","Downtown: Air War Over Hanoi, 1965-1972 is a game of air warfare over Hanoi. During the Rolling Thunder (1965-68) and Linebacker (1972) campaigns, Hanoi and the Red River Valley was the focus of American air operations intended to pressure North Vietnam's Communist leadership  into ceasing their attacks on the South. Against large &amp;quot;packages&amp;quot; of US attack and support aircraft, the Vietnamese deployed a formidable array of anti-aircraft artillery (AAA) and Surface to Air Missiles (SAMs). They also had a force of MiG fighter jets.  Covering air operations from 1965 to 1972, Downtown simulates the clashes between American air power and the North Vietnamese air defence system. The United States player controls Air Force and Navy strikes into Route Packs 5 and 6 - the heart of the Vietnamese defences.  Packages include forces of bombers, fighters, recon planes, jamming aircraft and &amp;quot;Iron Hand&amp;quot; aircraft for suppression of enemy air defenses (SEAD). The US player's objective is to destroy ground targets. They can only succeed by integrating all the package elements to complete the mission with minimal loss.  The North Vietnamese player controls concentrations of AAA, Fire Can radar-directed artillery and SAM . They can launch MiG fighters to intercept the bomber streams aimed at 'Downtown' Hanoi. The Vietnamese player must disrupt enemy attacks.  20 scenarios cover historical strike raids from the Rolling Thunder and Linebacker operations. Campaigns simulate raids taking place over the course of several days.  Game Scale: Game Turn: 1 minute Hex: 2.5 miles / 4 kilometers Units: Flights (1-4 aircraft), battalion-sized SAMs (six SA-2 launchers), or multi-battery concentrations of AAA  Game Inventory: One 22 x 34&amp;quot; full color mapsheet Two dual-side printed countersheets (560 1/2&amp;quot; counters) One 48-page Downtown rulebook One 40-page Downtown scenario booklet Three dual-side printed Aircraft Data Cards Four dual-side printed Player Aid Cards Six dual-side printed Flight Log Sheets Two 10-sided dice  Solitaire Playability: Low Complexity Level: High Players: 2 or more Playing Time: 4-15 hours","['Cities: Hanoi (Vietnam)', 'Country: Vietnam']"
"3","Downtown  Air War Over Hanoi",2004,2,2,240,240,14,410,7.85718,4.0816,"['2004 Charles S. Roberts Best Modern Era Boardgame Nominee', '2004 Charles S. Roberts Best Modern Era Boardgame Winner', '2004 Charles S. Roberts Best Wargame Graphics Nominee', '2004 Charles S. Roberts Best Wargame Graphics Winner', '2004 James F. Dunnigan Award Nominee', '2004 James F. Dunnigan Award Winner']","Vietnam War","Downtown: Air War Over Hanoi, 1965-1972 is a game of air warfare over Hanoi. During the Rolling Thunder (1965-68) and Linebacker (1972) campaigns, Hanoi and the Red River Valley was the focus of American air operations intended to pressure North Vietnam's Communist leadership  into ceasing their attacks on the South. Against large &amp;quot;packages&amp;quot; of US attack and support aircraft, the Vietnamese deployed a formidable array of anti-aircraft artillery (AAA) and Surface to Air Missiles (SAMs). They also had a force of MiG fighter jets.  Covering air operations from 1965 to 1972, Downtown simulates the clashes between American air power and the North Vietnamese air defence system. The United States player controls Air Force and Navy strikes into Route Packs 5 and 6 - the heart of the Vietnamese defences.  Packages include forces of bombers, fighters, recon planes, jamming aircraft and &amp;quot;Iron Hand&amp;quot; aircraft for suppression of enemy air defenses (SEAD). The US player's objective is to destroy ground targets. They can only succeed by integrating all the package elements to complete the mission with minimal loss.  The North Vietnamese player controls concentrations of AAA, Fire Can radar-directed artillery and SAM . They can launch MiG fighters to intercept the bomber streams aimed at 'Downtown' Hanoi. The Vietnamese player must disrupt enemy attacks.  20 scenarios cover historical strike raids from the Rolling Thunder and Linebacker operations. Campaigns simulate raids taking place over the course of several days.  Game Scale: Game Turn: 1 minute Hex: 2.5 miles / 4 kilometers Units: Flights (1-4 aircraft), battalion-sized SAMs (six SA-2 launchers), or multi-battery concentrations of AAA  Game Inventory: One 22 x 34&amp;quot; full color mapsheet Two dual-side printed countersheets (560 1/2&amp;quot; counters) One 48-page Downtown rulebook One 40-page Downtown scenario booklet Three dual-side printed Aircraft Data Cards Four dual-side printed Player Aid Cards Six dual-side printed Flight Log Sheets Two 10-sided dice  Solitaire Playability: Low Complexity Level: High Players: 2 or more Playing Time: 4-15 hours","['Cities: Hanoi (Vietnam)', 'Country: Vietnam']"
"4","Downtown  Air War Over Hanoi",2004,2,2,240,240,14,410,7.85718,4.0816,"['2004 Charles S. Roberts Best Modern Era Boardgame Nominee', '2004 Charles S. Roberts Best Modern Era Boardgame Winner', '2004 Charles S. Roberts Best Wargame Graphics Nominee', '2004 Charles S. Roberts Best Wargame Graphics Winner', '2004 James F. Dunnigan Award Nominee', '2004 James F. Dunnigan Award Winner']","Wargame","Downtown: Air War Over Hanoi, 1965-1972 is a game of air warfare over Hanoi. During the Rolling Thunder (1965-68) and Linebacker (1972) campaigns, Hanoi and the Red River Valley was the focus of American air operations intended to pressure North Vietnam's Communist leadership  into ceasing their attacks on the South. Against large &amp;quot;packages&amp;quot; of US attack and support aircraft, the Vietnamese deployed a formidable array of anti-aircraft artillery (AAA) and Surface to Air Missiles (SAMs). They also had a force of MiG fighter jets.  Covering air operations from 1965 to 1972, Downtown simulates the clashes between American air power and the North Vietnamese air defence system. The United States player controls Air Force and Navy strikes into Route Packs 5 and 6 - the heart of the Vietnamese defences.  Packages include forces of bombers, fighters, recon planes, jamming aircraft and &amp;quot;Iron Hand&amp;quot; aircraft for suppression of enemy air defenses (SEAD). The US player's objective is to destroy ground targets. They can only succeed by integrating all the package elements to complete the mission with minimal loss.  The North Vietnamese player controls concentrations of AAA, Fire Can radar-directed artillery and SAM . They can launch MiG fighters to intercept the bomber streams aimed at 'Downtown' Hanoi. The Vietnamese player must disrupt enemy attacks.  20 scenarios cover historical strike raids from the Rolling Thunder and Linebacker operations. Campaigns simulate raids taking place over the course of several days.  Game Scale: Game Turn: 1 minute Hex: 2.5 miles / 4 kilometers Units: Flights (1-4 aircraft), battalion-sized SAMs (six SA-2 launchers), or multi-battery concentrations of AAA  Game Inventory: One 22 x 34&amp;quot; full color mapsheet Two dual-side printed countersheets (560 1/2&amp;quot; counters) One 48-page Downtown rulebook One 40-page Downtown scenario booklet Three dual-side printed Aircraft Data Cards Four dual-side printed Player Aid Cards Six dual-side printed Flight Log Sheets Two 10-sided dice  Solitaire Playability: Low Complexity Level: High Players: 2 or more Playing Time: 4-15 hours","['Cities: Hanoi (Vietnam)', 'Country: Vietnam']"
"5","No Retreat! The Russian Front",2011,1,2,360,360,12,1345,7.83584,3.121,"['2011 Charles S. Roberts Best Board Game Graphics Nominee', '2011 Charles S. Roberts Best World War 2 Era Board Wargame Nominee', '2011 Charles S. Roberts Best World War 2 Era Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee', '2011 Origins Awards Best Historical Board Game Nominee', '2012 Golden Geek Best Wargame Nominee']","Wargame","(from GMT's website:)  No Retreat: The Russian Front is a new deluxe edition of the  two-player Victory Point Games 2008 CSR Award Nominee wargame that retells the story of the titanic struggle between the invading armies of Nazi Germany versus Communist Russia during WW2 at a player-friendly and manageable level of scope and difficulty.  This edition combines both the original game and its two extensions (Na Berlin! and No Surrender!) using deluxe components of ""Twilight Struggle Deluxe Edition"" quality. With only 40 Army/Front sized counters for the Tournament game, and 70 for the whole campaign, and with very low stacking, it&amp;rsquo;s a quick-playing yet realistic affair that favours the strategic and offensive-minded player.  Each turn is alight with intriguing on-board challenges plus the surprise of card hand Events as players vie to win in one of three different ways.  In a skillfully blended collation of classic hex-based wargaming and modern card-driven simulations, No Retreat: The Russian Front  stays truly story-centric, providing the proper feel of sweeping maneuvers, exploitation and encirclements across the vast steppes and forests of Russia. With a simple-yet-innovative economic model, players will also feel the growing might and sophistication of the Russian&amp;rsquo;s Red Army, and the degradation of the once-invincible German Wehrmacht, over the epic four year sweep of time that this merciless campaign was fought.  Neither side can afford the disgrace of yielding an inch of ground to their hated foe, so your orders are: ""No Retreat!""  Components:       One Standard size mounted map      Two Counter Sheets      One deck of 55 Playing Cards      Rule booklet      Scenario booklet      Player Aid Cards      Two 6-sided dice (1 black and 1 white)     TIME SCALE: 2 months per turn MAP SCALE: 100km / 60 miles per hex UNIT SCALE: Armies and Fronts NUMBER OF PLAYERS: 2  DESIGNER: Carl Paradis DEVELOPER: Alan Emrich &amp;amp; Carl Paradis COUNTER ART: Mark Simonitch &amp;amp; Carl Paradis MAP ART: Mark Simonitch","['No Retreat series', 'Solitaire Games', 'Solitaire Wargames']"
"6","No Retreat! The Russian Front",2011,1,2,360,360,12,1345,7.83584,3.121,"['2011 Charles S. Roberts Best Board Game Graphics Nominee', '2011 Charles S. Roberts Best World War 2 Era Board Wargame Nominee', '2011 Charles S. Roberts Best World War 2 Era Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee', '2011 Origins Awards Best Historical Board Game Nominee', '2012 Golden Geek Best Wargame Nominee']","World War II","(from GMT's website:)  No Retreat: The Russian Front is a new deluxe edition of the  two-player Victory Point Games 2008 CSR Award Nominee wargame that retells the story of the titanic struggle between the invading armies of Nazi Germany versus Communist Russia during WW2 at a player-friendly and manageable level of scope and difficulty.  This edition combines both the original game and its two extensions (Na Berlin! and No Surrender!) using deluxe components of ""Twilight Struggle Deluxe Edition"" quality. With only 40 Army/Front sized counters for the Tournament game, and 70 for the whole campaign, and with very low stacking, it&amp;rsquo;s a quick-playing yet realistic affair that favours the strategic and offensive-minded player.  Each turn is alight with intriguing on-board challenges plus the surprise of card hand Events as players vie to win in one of three different ways.  In a skillfully blended collation of classic hex-based wargaming and modern card-driven simulations, No Retreat: The Russian Front  stays truly story-centric, providing the proper feel of sweeping maneuvers, exploitation and encirclements across the vast steppes and forests of Russia. With a simple-yet-innovative economic model, players will also feel the growing might and sophistication of the Russian&amp;rsquo;s Red Army, and the degradation of the once-invincible German Wehrmacht, over the epic four year sweep of time that this merciless campaign was fought.  Neither side can afford the disgrace of yielding an inch of ground to their hated foe, so your orders are: ""No Retreat!""  Components:       One Standard size mounted map      Two Counter Sheets      One deck of 55 Playing Cards      Rule booklet      Scenario booklet      Player Aid Cards      Two 6-sided dice (1 black and 1 white)     TIME SCALE: 2 months per turn MAP SCALE: 100km / 60 miles per hex UNIT SCALE: Armies and Fronts NUMBER OF PLAYERS: 2  DESIGNER: Carl Paradis DEVELOPER: Alan Emrich &amp;amp; Carl Paradis COUNTER ART: Mark Simonitch &amp;amp; Carl Paradis MAP ART: Mark Simonitch","['No Retreat series', 'Solitaire Games', 'Solitaire Wargames']"
"7","Civilization West Extension Map",1986,2,7,360,360,12,760,7.82587,3.2361,"['None']","Ancient","A simple add-on for Civilization and/or Advanced Civilization, this is an additional panel civilizations, as well as allowing all sorts of new expansion strategies (for Africa, in particular). The map supports up to 8 players when using Advanced Civilization or 7 when playing the base Civilization game.","['Civilization']"
"8","Civilization West Extension Map",1986,2,7,360,360,12,760,7.82587,3.2361,"['None']","Civilization","A simple add-on for Civilization and/or Advanced Civilization, this is an additional panel civilizations, as well as allowing all sorts of new expansion strategies (for Africa, in particular). The map supports up to 8 players when using Advanced Civilization or 7 when playing the base Civilization game.","['Civilization']"
"9","Civilization West Extension Map",1986,2,7,360,360,12,760,7.82587,3.2361,"['None']","Economic","A simple add-on for Civilization and/or Advanced Civilization, this is an additional panel civilizations, as well as allowing all sorts of new expansion strategies (for Africa, in particular). The map supports up to 8 players when using Advanced Civilization or 7 when playing the base Civilization game.","['Civilization']"
"10","Civilization West Extension Map",1986,2,7,360,360,12,760,7.82587,3.2361,"['None']","Expansion for Base-game","A simple add-on for Civilization and/or Advanced Civilization, this is an additional panel civilizations, as well as allowing all sorts of new expansion strategies (for Africa, in particular). The map supports up to 8 players when using Advanced Civilization or 7 when playing the base Civilization game.","['Civilization']"
